[2026-05-12 11:15:31] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-11
正在获取论文...
[NO] 26/200 | Higgs-Portal Spin-1 Dark Matter with Parity-Violating Interaction for a Galactic Halo Gamma Ray Excess
[NO] 27/200 | OZ-TAL: Online Zero-Shot Temporal Action Localization
[NO] 28/200 | Localization phase diagram of the Hexagonal Lattice with irrational magnetic flux
[NO] 29/200 | Antisymmetric linear transverse magnetization and ferroaxial moments induced by geometry-driven electric field gradients
[NO] 30/200 | Learning to Perceive "Where": Spatial Pretext Tasks for Robust Self-Supervised Learning
[NO] 31/200 | Total Generalized Variation regularization closes the gap between neural-eld and classical methods in seismic travel-time tomography
[NO] 32/200 | G-Zero: Self-Play for Open-Ended Generation from Zero Data
[NO] 33/200 | On Scalable Pseudorandom Unitaries and the Unitary Synthesis Problem
[NO] 34/200 | SDTalk: Structured Facial Priors and Dual-Branch Motion Fields for Generalizable Gaussian Talking Head Synthesis
[NO] 35/200 | Novel GPU Boruta algorithms for feature selection from high-dimensional data
[NO] 36/200 | Neural Distance-Guided Path Integral Control for Tractor-Trailer Navigation
[NO] 37/200 | FocuSFT: Bilevel Optimization for Dilution-Aware Long-Context Fine-Tuning
[NO] 38/200 | expo: Exploration-prioritized policy optimization via adaptive kl regulation and gaussian curriculum sampling
[NO] 39/200 | Verifier-Free RL for LLMs via Intrinsic Gradient-Norm Reward
[NO] 40/200 | NaiAD: Initiate Data-Driven Research for LLM Advertising
[NO] 41/200 | Position: Academic Conferences are Potentially Facing Denominator Gaming Caused by Fully Automated Scientific Agents
[NO] 42/200 | Rethinking Random Transformers as Adaptive Sequence Smoothers for Sleep Staging
[NO] 43/200 | TOC-Bench: A Temporal Object Consistency Benchmark for Video Large Language Models
[NO] 44/200 | Simultaneous Approximation by Attracting Basins
[NO] 45/200 | Tube-Structured Incremental Semantic HARQ for Generative Video Receivers
[YES] 46/200 | Efficient Airy Beam Training for Quasi-LoS Terahertz Near-Field Communications
[NO] 47/200 | Revisiting the Independence Assumption in LEO Satellite-to-Ground Optical Links: A State-Coupled Joint Fading Model
[NO] 48/200 | Harnessing Floating Car Data, Traffic Camera Observations, and Network Flow Analysis for Traffic Volume Estimation
[NO] 49/200 | RAYTHEIA: A high-performance ray-tracing algorithm for three-dimensional direction-dependent equations in astronomical simulations
[NO] 50/200 | M2A: Synergizing Mathematical and Agentic Reasoning in Large Language Models
[NO] 51/200 | Higher-order Persistence Diagrams
[NO] 52/200 | Unified Approach for Weakly Supervised Multicalibration
[NO] 53/200 | ReCoVR: Closing the Loop in Interactive Composed Video Retrieval
[NO] 54/200 | Supercharging Bayesian Inference with Reliable AI-Informed Priors
[NO] 55/200 | Cross-Domain Lossy Compression via Constrained Minimum Entropy Coupling
[NO] 56/200 | Active Tabular Augmentation via Policy-Guided Diffusion Inpainting
[NO] 57/200 | Prescribing geodesics and a variational problem for Riemannian metrics
[NO] 58/200 | LeapTS: Rethinking Time Series Forecasting as Adaptive Multi-Horizon Scheduling
[NO] 59/200 | Phenomenology of electroweak spin-1 resonances
[NO] 60/200 | Generalization Error Bounds for Picard-Type Operator Learning in Nonlinear Parabolic PDEs
[NO] 61/200 | PolarVSR: A Unified Framework and Benchmark for Continuous Space-Time Polarization Video Reconstruction
[NO] 62/200 | Homotopy Non-Invariance of the String Cobracket and the Failure of the Lie Bialgebra Structure
[NO] 63/200 | Overfitting by design: neural network density functionals for water
[NO] 64/200 | Meta-Black-Box Optimization Can Do Search Guidance for Expensive Constrained Multi-Objective Optimization
[NO] 65/200 | Floquet-tuned superfluid-checkerboard competition in dipolar bosons
[NO] 66/200 | Diffeomorphic registration distances for Bayesian calibration of infinite-dimensional computer models
[NO] 67/200 | Electroweak physics and long-lived particles at LHCb
[NO] 68/200 | When Does Non-Uniform Replay Matter in Reinforcement Learning?
[NO] 69/200 | Social Policy of Large Language Models: How GPT, Claude, DeepSeek and Grok Allocate Social Budgets in Spain and Germany
[NO] 70/200 | The Vote-Left Equilibrium: A Deterministic Coordination Strategy for the Faithful in The Traitors
[NO] 71/200 | The Serre Derivatives and Zeros of Modular Forms
[NO] 72/200 | Apparent double-$T_c$ from a single BKT transition in anisotropic phase-only models
[YES] 73/200 | Unsupervised Online Channel Estimation for High-Mobility OFDM via Implicit Neural Representation
