[2026-02-12 09:42:19] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-11
正在获取论文...
[NO] 8/200 | RiemannGL: Riemannian Geometry Changes Graph Deep Learning
[NO] 9/200 | X-ray stellar feedback in low-metallicity starbursts: Insights from the template starburst galaxy ESO 338-IG04 and its halo
[NO] 10/200 | VFGS-Net: Frequency-Guided State-Space Learning for Topology-Preserving Retinal Vessel Segmentation
[NO] 11/200 | Can LLMs Cook Jamaican Couscous? A Study of Cultural Novelty in Recipe Generation
[NO] 12/200 | Lie Group Variational Integrator for the Geometrically Exact Rod with Circular Cross-Section Incorporating Cross-Sectional Deformation
[YES] 13/200 | Fluid-Antenna-Enabled Integrated Bistatic Sensing and Backscatter Communication Systems
[NO] 14/200 | Fluctuation-Response Design Rules for Nonequilibrium Flows
[NO] 15/200 | Search or Accelerate: Confidence-Switched Position Beam Search for Diffusion Language Models
[NO] 16/200 | Developing Neural Network-Based Gaze Control Systems for Social Robots
[NO] 17/200 | Towards Learning a Generalizable 3D Scene Representation from 2D Observations
[NO] 18/200 | Design, Development, and Use of Maya Robot as an Assistant for the Therapy/Education of Children with Cancer: a Pilot Study
[NO] 19/200 | Scalable Solar-Blind Imaging Enabled by Single-Crystalline Beta-Ga2O3 Membranes on Silicon Backplanes
[NO] 20/200 | FastUSP: A Multi-Level Collaborative Acceleration Framework for Distributed Diffusion Model Inference
[NO] 21/200 | Non-centred Bayesian inference for discrete-valued state-transition models: the Rippler algorithm
[NO] 22/200 | HD 164604 c: a second giant planet on a 15-yr orbit and the constraint of the planet-planet mutual inclination
[NO] 23/200 | Discrete Quantitative Isocapacitary Inequality: Fluctuation Estimates
[NO] 24/200 | Near-Constant Strong Violation and Last-Iterate Convergence for Online CMDPs via Decaying Safety Margins
[NO] 25/200 | Massive stars as gravitationally lensed transients -- Insights on the high-mass initial mass function
[NO] 26/200 | Natural Hypergradient Descent: Algorithm Design, Convergence Analysis, and Parallel Implementation
[NO] 27/200 | Phonon gap analysis for equilibria of perturbed almost-periodic Frenkel-Kontorova models
[NO] 28/200 | Multi-Modal Track Reconstruction using Graph Neural Networks at Belle II
[NO] 29/200 | Wave Propagation and Effective Refraction in Lorentz-Violating Wormhole Geometries
[NO] 30/200 | The CLEF-2026 FinMMEval Lab: Multilingual and Multimodal Evaluation of Financial AI Systems
