[2026-04-13 10:28:10] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-12
正在获取论文...
[NO] 30/100 | Simulating Human Audiovisual Search Behavior
[NO] 31/100 | Modeling Perceived Force of Electrical Muscle Stimulation to Improve User’s Recall
[NO] 32/100 | “Tell Me Why You’re Asking”: Exploring How to Increase Engagement in Preference Feedback for Intelligent Notification Systems
[NO] 33/100 | Does Sycophancy Change Decisions? Effect of LLM Sycophancy on AI-Assisted Decision-Making
[NO] 34/100 | Crafting Remembrance Beyond the Self: Older Adults’ Digital and Material Legacies
[NO] 35/100 | Who Does What? Archetypes of Roles Assigned to LLMs During Human-AI Decision-Making
[NO] 36/100 | Reimagining Legal Fact Verification with GenAI: Toward Effective Human-AI Collaboration
[NO] 37/100 | Do Citizens Agree with the EU AI Act? Public Perspectives on Risk and Regulation of AI Systems
[NO] 38/100 | FlueBricks: A Construction Kit of Flute-like Instruments for Acoustic Reasoning
[NO] 39/100 | Balancing Accuracy and Embodiment: A Hybrid Perspective for Complex Visuomotor Tasks in VR
[NO] 40/100 | “Bespoke Bots”: Diverse Instructor Needs for Customizing Generative AI Classroom Chatbots
[NO] 41/100 | Representation on Our Terms: How Trans and Gender Diverse People Prioritize Inclusivity in University Information Systems
[NO] 42/100 | The ORBIT India Dataset: Understanding the Challenges of Collecting a Disability-First AI Dataset in Low-Resource Environments
[NO] 43/100 | iRULER: Intelligible Rubric-Based User-Defined LLM Evaluation for Revision
[NO] 44/100 | Thing Ethnography in a Factory: Exploring Emergent and Dynamic Relations of Cobots and Workers
[NO] 45/100 | EmotiV: Exploring Automatic Emotion Sharing through Facial Expression Recognition (FER) for Online Co-Watching
[NO] 46/100 | Navigating Financial Lives: How Autistic Adults Adapt Financial Technologies, Tools and Strategies
[NO] 47/100 | Increasing Input Accuracy of Embodied Devices via Electrical Muscle Stimulation
[NO] 48/100 | CaseCompass: Designing Sustainable, Community-Led Socio-Technical Systems for Gender-Based Violence Support Work
[NO] 49/100 | Queering Character Creation: Player Perspectives on Choosing Characters' Gender and Sexual Orientation in Role-Playing Games
[NO] 50/100 | SketchDynamics: Exploring Free-Form Sketches for Dynamic Intent Expression in Animation Generation
[NO] 51/100 | Exploring and Probing the Algorithmic Gaze on Bodies and Well-being
[NO] 52/100 | Session Summary Podcast: Session 57: Critical Reflections on AI
[NO] 53/100 | Session Summary Podcast: Session 50: Consent, Risk, and Everyday Ethics
[NO] 54/100 | Scaffolding Metacognition with GenAI: Exploring Design Opportunities to Support Task Management for University Students with ADHD
[NO] 55/100 | ReVisor: A Reflective Design Tool for Instructional Designers to Improve Teacher Training Materials via AI Discussions
[NO] 56/100 | Chewing It Over: Revealing Tensions And New Directions For More-Than-Human Relational Ethics Through Speculative Design
[NO] 57/100 | Understanding the Dynamics of Trust in Location-Based Games as Hybrid Spaces: The Players' Perspective
[NO] 58/100 | Needling Through the Threads: A Visualization Tool for Navigating Threaded Online Discussions
[NO] 59/100 | VisceroHaptics: Investigating the Effects of Gut-based Audio-Haptic Feedback on Gastric Feelings and Gastric Interoceptive Behavior
[NO] 60/100 | AI in Webtoon Creation: Challenges, Perceptions, and Design Implications
[NO] 61/100 | Session Summary Podcast: Session 104: HCAI and Collaboration
[NO] 62/100 | Session Summary Podcast: Session 130: LLM Interaction &amp; Conversational Agents
[NO] 63/100 | Dynamic Compensation Can Enhance User Engagement by Triggering Sensitivity to Financial Losses in Crowd-sourced Studies
[NO] 64/100 | Session Summary Podcast: Session 121: Immersive Play and Spatial Computing
[NO] 65/100 | Breakdowns in Conversational AI: Interactional Failures in Emotionally and Ethically Sensitive Contexts
[NO] 66/100 | Computer Science Achievement and Writing Skills Predict Vibe Coding Proficiency
[NO] 67/100 | Challenges in Automatic Speech Recognition for Adults with Cognitive Impairment
[NO] 68/100 | Exploring Texture-Level Creative Decisions with penPal, a Novel Handheld Actuated Drawing Tool
[NO] 69/100 | Tracking Together: A Robot-and-App-Based Speech Analysis System to Support Shared Meaning-Making Among Dementia Care Partners
[NO] 70/100 | Unpacking Visual Metaphors in Infographics: A Design Space
[NO] 71/100 | Are Semantic Networks Associated with Idea Originality in Artificial Creativity? A Comparison with Human Agents
[NO] 72/100 | Exploring Collaboration Breakdowns Between Provider Teams and Patients in Post-Surgery Care
[NO] 73/100 | Contrastive Learning for Large-scale Color-Name Dataset: Tackling Sparsity with Negative Sampling
[NO] 74/100 | Privy: Envisioning and Mitigating Privacy Risks for Consumer-facing AI Product Concepts
[NO] 75/100 | "An Experience That Could Not be Found Anywhere Else": Resonance as an Explanatory Concept for Player Experience Research and Game Design
[NO] 76/100 | Session Summary Podcast: Session 27: Alternative Perspectives
[NO] 77/100 | AReframedChair: Reframing the Empty Chair through Dyadic and Triadic AR-Mediated Self-Embodiment
[NO] 78/100 | BikeButler: A Personalized, Context-sensitive Bike Routing Tool using Open Data and VLM-based Analyses of Street View Imagery
[NO] 79/100 | EmoFlow: From Tracking to Sense-Making of Emotions Through Creative Drawing
[NO] 80/100 | Bondi: Designing Tangible and Multimodal Interfaces for Continuing Bonds in Pet Bereavement
[NO] 81/100 | "AI does not understand the real world.": AI Augmented Software Development
[NO] 82/100 | Me²: Co-Designing Deepfake Encounters With One's Child Self in XR
[NO] 83/100 | Designing Cognitive Mini-Games for Computational Thinking and Executive Functions (Work in Progress)
[NO] 84/100 | "Google Maps can say a lot of things, but it cannot guide us properly": Exploring Technology Inaccessibility for People with Visual Impairments in Bangladesh
[NO] 85/100 | "It Helps Me Start": How ADHD Users Adapt AI Tools in Everyday Life
[NO] 86/100 | Probing More-Than-Human Representation in Crisis Resilience Planning: An HCI Researcher Perspective
[NO] 87/100 | Embodied Encounters in the Forest: Human Interpretations and Sense Making of Robot Presence and Behavior
[NO] 88/100 | Looks Good, But Is It Usable? Evaluating Usability in AI-Generated Mobile User Interfaces
[NO] 89/100 | StreAM: An LLM-Based System for Stress-Adaptive Meditation at Work
[NO] 90/100 | "Figma Is a Big Black Box:" The Mismatch Between the Interface and Its Underlying Structure
[NO] 91/100 | Mirror of the Dividual: A Public-Space Multimodal Interactive System for Making Understanding Perceivable
[NO] 92/100 | Augmented Reality for Tabletop and In-Situ Visualization of Road Construction Drawings to Support Engineers
[NO] 93/100 | MnemoMaker: Creator, Curator, or Something Else? Exploring Human-AI Mnemonic Co-Creation
[NO] 94/100 | If I Change Your Eyes, Are You Still You? Identity Thresholds in Deepfake Perception
[NO] 95/100 | Break the Window: Exploring Spatial Decomposition of Webpages in XR
[NO] 96/100 | AI Agents and the Future of Deliberation: Designing Human–AI Collaboration for Democratic Dialogue
[NO] 97/100 | The Sound of Silencing: Identities and Ideologies in Commercial Text-To-Speech
[NO] 98/100 | User-Centered Design Principles for Decentralized Identity in Banking KYC
[NO] 99/100 | Quantifying Co-writing with AI across Datasets from the HCI Community
[NO] 100/100 | Wind-OI: A Real-Time CFD-Driven Olfactory Interface with Wind Stimulus for Virtual Dynamic Odor Environments
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-04-12.json。
邮件发送成功！
[2026-04-13 10:43:37] 任务执行成功！
